NewsID,NewsContent,Explicit_Company
1,　　本报记者 田雨 李京华    　　中国建设银行股份有限公司原董事长张恩照受贿案３日一审宣判，北京市第一中级人民法院依法以受贿罪判处张恩照有期徒刑１５年。    　　法院经开庭审理查明，２０００年至２００４年期间，被告人张恩照利用其担任原中国建设银行副行长、行长，中国建设银行股份有限公司董事长的职务便利，为他人牟取利益，多次非法收受他人给予的款物共计人民币４００余万元。案发后，赃款、赃物已全部退缴。    　　法院认为，被告人张恩照身为国家工作人员，利用职务上的便利，为他人谋取利益，非法收受他人财物，其行为已构成受贿罪，受贿数额特别巨大。鉴于张恩照因其他违纪问题被审查后，主动交代了有关部门不掌握的本案受贿事实，属于自首，且赃款、赃物已全部退缴，对张恩照依法可从轻处罚。法院遂依法以受贿罪判处张恩照有期徒刑１５年。,建设银行
2,　　中国农业银行信用卡中心由北京搬到上海了！  　　农行行长杨明生日前在信用卡中心揭牌仪式上表示，此举标志着农行开始了信用卡业务的新里程，其信用卡中心进入一个崭新的发展阶段。    　　杨明生表示，银行卡业务是农行的一项优质资产。目前，农行的发卡量已经超过２．４亿张，农行金穗贷记卡的各项指标持续保持快速增长势头。他说，信用卡中心迁沪是看中了上海作为国际金融中心的区位优势，业已形成的银行卡产业环境及高素质的人才市场。    　　农行信用卡中心２００３年创建于北京，以金穗贷记卡为主营业务，具有全行信用卡产品研发中心、业务处理中心和客户服务中心的职能。据悉，农行信用卡中心已完成了所有搬迁工作并进入正常运转。,农业银行
3,　　在新基金快速发行以及申购资金回流的情况下，市场总体上呈现资金流动性过剩格局，考虑到现阶段权重股股价高位运行的风险，目前主力资金主要针对价值低估的二线展开了挖掘，使得近期上演二线蓝筹轮番上涨行情，建议投资者对该品种重点关注，如（600270）外运发展，该股拥有显著的盈利能力，除权后缺口对股价具有较强的牵引作用，目前涨幅滞后，后市可重点关注。    　　外运龙头国际市场高占有率  　　公司核心业务包括航空货运代理、国际快件及综合物流，在全国拥有35家分公司，80个市级物流中心及近200个物流网点，运营网络辐射全国，同时，在国际上与50多家海外货运代理公司有着通力合作，目前在国际航空快件领域和国际航空货运代理领域分别拥有约40%和10%的市场占有率，公司力争发展成为既有航空运力保障，又有地面网络通道的国内一流的快速物流供应商。该公司主要利润来源是与DHL(德国敦豪)合资的中外运敦豪(双方各持50%)，中外运敦豪的资产规模为13亿元，06年上半年实现净利润32217万元(05年实现净利润42634万元、04年净利润39514万元)，中外运敦豪是DHL全球服务网络的重要组成部分，在中国主要城市设立了56家分公司(其中04年新增6家分公司)。根据DHL的规划，未来3年合资公司的利润复合增长率有望达到14%以上，有能力保证未来业绩增长。  　　货运航空将成新的利润增长点  　　公司参与四川航空集团公司整体改制重组，公司将占新设的四川航空集团有限责任公司注册资本的49%。参股新公司后，可为公司的航空货运代理业务以及航空快递业务提供运力支持，从而大大提高公司的竞争优势，此外06年9月，公司与大韩航空、韩亚投资和新韩投资在京签署了合资组建货运航空公司的正式协议，新组建公司注册资本为6500万美元，外运发展占股权的51%。合资公司将以全货机运营，主要经营国际定期与非定期航空货物运输服务，同时兼营自用飞行器租赁和维修服务、包机业务、航空公司间代理服务、进出口贸易服务及相关地面服务等，货运航空业务有望成为公司未来的业绩增长点。  　　资产增值概念后市强势上行  　　二级市场上，该股三季度业绩平稳增长每股受益高达0.42元，属于典型的高收益高分红的价值型蓝筹股，该股同时还具有资产增值概念，其购买的中国国航目前为公司带来亿元以上的帐面收益，技术上该股除权后留下巨大缺口对股价有一定的牵引作用，作为业绩优秀的二线蓝筹，后市有强烈补涨要求。,"外运发展, 中国国航"
4,"　　胜利股份（000407）公司子公司填海造地2800亩，以青岛的地价估算，静态价值在10亿元左右。公司旗下的青岛胜通海岸置业发展有限公司对青岛市四方区海岸带项目的开发，岸线全长5830米，开发后形成新陆域面积预计高达2800亩。子公司低成本的填海造地项目使公司土地猛然增百万平米，加之青岛地区优越的经济、旅游环境，土地增值空间非常巨大，以青岛的地价估算，静态价值在10亿元左右。项目竣工后，公司可直接转让该块土地，获得土地转让收入；或则和一些世界级公司合作，共同参与港口后续的建设、经营和管理，从而介入港口业务。目前因为该项目预期收益良好，已有深圳南山集团、新加坡港务集团、阿联酋迪拜港等国际投资者前来洽谈投资事宜。多种方式的选择也为公司从该项目获取巨大收益提供了空间，为公司资产带来巨大增值机会。  　　公司在生物医药产业也初露锋芒，研究开发的海南霉素作为中国唯一自主开发的抗生素兽药，列入国家""十五""科技攻关项目，具有广泛用途。同时，公司另一拳头产品泰妙菌素是一种双萜类动物专用抗生素，主要用于防治家畜家禽呼吸系统疾病和动物促生长，是世界十大兽用抗生素之一，公司出口量占国内出口总量的比重在80％左右。公司斥资3亿元建设的济宁生物工程项目去年10月正式试车投产，将成为以生物发酵工程为主的大型生产基地，预计年实现销售收入3.5亿元，利税5000万元，成为公司显著的利润增长点。  　　公司农药产业随着国家""三农""政策的实施，保持了稳定的上升势头。公司农药产品主要由山东胜邦绿野化学有限公司（胜邦绿野）负责生产，公司持有胜邦绿野85％的股权，胜邦绿野是国家农药定点生产企业，我国最大的除草剂生产基地之一，山东省外经委确认的""先进技术型企业""。公司原来生产能力为1.6万吨，今年利用厂区搬迁的机会，产能扩张50％以上，新增加8000吨草甘膦项目。由此可以看到，公司农药产业以章丘草甘膦项目投产、厂区扩建为契机，加快产品结构调整，加强国内外市场的营销力度，实现收入、利润的稳步增长。  　　该股股改后稳步走强，形成标准的上升通道，且量价配合十分理想。近日该股之后再次进入攻击格局，后市有望继续走强，投资者可重点关注。",胜利股份
8,　　由于全球最大的俄罗斯Uralkaly钾矿被淹，产量大减，同时满洲里口岸铁路在修复线，导致中俄边贸供应偏紧且合同推迟，加剧国内钾肥供应紧张局面，两只钾肥股盐湖钾肥和冠农股份近日应声暴涨。我国钾盐产量只占全球的1%左右，但占世界消耗总量的20%，“中国需求”令到钾盐价格非常坚挺，明年价格依然看涨。为提高我国的钾盐产量，国家决定加大对青海察尔汗盐湖、新疆罗布泊盐湖、山西运城盐湖这三大钾盐湖的开发力度，三盐湖中，由于察尔汗盐湖和罗布泊盐湖远在西部边陲，采出的钾盐只能通过紧张的铁路运输出来，而山西运城盐湖位于中原，交通和采掘条件优越，其主要开发者南风化工（000737）是整体上市，拥有运城盐湖的开发权，钾盐产量和储量位于国内三强之列。我国最主要的钾肥进口和生产商中化集团继收购盐湖钾肥股权后，正打算控股南风化工来介入运城盐湖钾盐开发，南风化工公告中化集团与运城国资委就南风化工母公司运城盐化局股权划转，或中化集团对运城盐化局增资扩股等合作事宜进行了接触，一旦成事，南风化工的潜能将得到尽情发挥。  　　南风化工全权开发的运城盐湖面积为132平方公里，是世界第三大硫酸钠型内陆湖泊，水中的钾盐、镁盐、硫酸盐以及食盐逐渐与早期淤积层相结合，结成了很厚的矿石层，与以色列境内的死海齐名，死海以出产钾肥等著称。南风化工公司现时年产硫酸钾16万吨，是我国第三大钾肥生产基地，并且是亚洲最大的硫酸钾生产基地。目前盐湖钾肥的主营产品为氯化钾，南风化工的主营产品为硫酸钾，罗布泊盐湖则是硫酸钾和硝酸钾，三者形成互补。南风化工与中国烟草总公司共同出资组建了山西钾肥有限公司，未来若与中化集团携手，相信成果会更大。  　　参与开发罗布泊盐湖的冠农股份、开发察尔汗盐湖的盐湖钾肥股价早已飞上天，独剩下开发运城盐湖的南风化工尚未启动，运城盐湖的钾盐储量虽然逊于察尔汗盐湖和罗布泊盐湖，但胜在交通和采掘条件优越，若中化集团介入，在资金和技术上予以扶持，则效益会大大提高。南风化工的洗衣粉业务面临的竞争太大，关键是要扬长避短，扬盐湖资源之长，其实在洗涤领域方面，联合利华和宝洁等跨国集团也曾想打南风化工的主意，南风化工盐产品和洗衣粉两大主业未来若重新整合，则企业的发展后劲将会猛增。南风化工目前仍低于3.16元的净资产值，公司是亚洲最大的硫酸钾生产企业，中化集团有意向入主，因此南风化工后市颇具爆发潜力，值得重点关注。,冠农股份
9,　　如何来形容当下的股市，相信红茶馆里的茶客们都会异口同声道：“牛！”那为什么会这么牛呢？有人会回答：“是因为连续下跌了五年才带来了如此牛市。”有人会说：“是股改带来中国股市全新的投资机会。”还有人说：“是不断的外资涌入才给了股市春天！”这些都对，但最终能够带动中国股市走向光明牛市的是中国经济无限活力带给中国股市无限活力。  　　  　　正是有了每年高速增长的经济，让中国成为了世界的焦点，中国股市也成为全世界关注的目标，一年接近100％涨幅让这个曾经饱受争议的金融市场也成为了全球最闪亮点，无数的投资者为之疯狂，为之陶醉，那么身为这个市场的投资者之一，我们又能怎么面对这个市场呢？  　　  　　今年在这个市场中能够赚100％的人可以说不计其数，赚300％以上的人也不是屈指可数，甚至有不少人上演一年十倍的股市神话，但是我们看到多数人赚钱的同时也看到了不少人在这个市场中一无所获。今年整个股市从最低点到最高点，很多股票都翻番不止，但我们看到依旧很多股票停留在1600点，1500点，更有甚至停留在1400点之上，如果我们之中有人买到这样的股票怎么办啊？  　　  　　牛市重势，熊市重质，既然现在你手中的股票没有上攻动能，那么一旦下跌到来之后，会不会避免下跌？自然不会。那么这个时候我们最需要干的事情是什么，找到能够有上涨动能的股票，这些股票在哪里？看看人民币兑美元的走势你自然能够得到答案。  　　  　　600966博汇纸业，受益人民币升值的纸业蓝筹股，公司是我国最大的书写纸生产基地，其20万吨自制浆项目达产将幅度降低生产成本，同时人民币汇率的稳步上升也对公司构成利好，作为市盈率仅10倍的纸业蓝筹，估值严重偏低，目前股价刚刚从底部突破，后市有望强力上攻，投资者可加以重点关注。  　　  　　人民币升值趋势一日不改，股市牛市一日不灭。,博汇纸业
10,"　　招商局能源运输股份有限公司A股于12月1日上市流通，证券简称为“招商轮船”，证券代码601872,该股每股发行价格为3.71元,公司由招商局集团联手中石化集团、中化集团、中远集团和中海油集团共同发起设立的国内最大的远洋油轮运输企业，它占有国内远洋原油运输28.2%的市场份额。作为目前中国唯一一家具有40多年国际运作经验的油轮船东，该公司专门从事远洋油品、干散货和液化天然气(LNG)业务运输，其下属的中国液化天然气运输(控股)有限公司(CLNG)是目前国内唯一一家专业经营LNG运输业务的公司。公司募资主要用于扩建油轮船队及建造液化天然气运输专用船，拟未来三年实现油轮运力翻番:1、油轮船队扩建项目。预计募集资金投资额50.68亿元。2、建造液化天然气运输专用船项目。预计投资额6.51亿元。  　　综合来看，公司是中国远洋能源运输市场的领先者；公司所处的中国能源运输市场是一个高速增长的市场；“国家能源运输安全战略”为中国船东提供了发展良机；公司已经安排了未来三年油轮船队的扩张计划，以求最大限度地抓住高速增长的市场益；公司在发展前景广阔的LNG运输市场占据了先机，目前是中国唯一一家专业LNG运输公司；公司具有世界级的能源运输船队管理水平。结合市场状况，预计该股上市定位在5.5元,运行区间在5-6元。主承销商为中金公司。（中信金通钱向劲）","中金公司, 招商轮船"
12,　　大盘运行  　　深沪两市成交金额相加达到713亿元，成为8月份以来的最大成交量，也是5月份以来的第三大成交量，增量资金快速进场迹象明显，强势加速格局仍在继续，今天在挑战2100点后，沪指将向历史新高2245点发起挑战和冲击，深成指向历史新高6103点发起冲击，中国证券市场将掀开新的篇章。  　　  　　策略分析  　　由于增量资金快速进场，个股活跃度增加，个股普涨格局慢慢形成，投资者可加大操作力度，对加速个股进行激进操作，对底部放量明显的个股重仓重点关注，对绩差股、亏损股逢高降低仓位，重点回避。  　　  　　板块分析  　　大盘权重股：可继续关注，重点放在涨幅不大的品种上，尤其是总市值大的个股。  　　  　　地产、金融：在经过技术修正之后，仍有强势的表现，继续推荐，短线机会较好。  　　  　　钢铁板块：继续加大操作，短线机会较好。  　　  　　工程机械：加大关注力度，尤其是被基金重仓的品种。  　　  　　水泥：未来的热点之一，重点关注价格偏低品种的中线机会。  　　  　　消费行业：可进行中长线关注。  　　  　　电力、高速、港口：防御性品种，但不活跃，属于稳健型的品种。  　　  　　超跌、科技等：个股机会多，不容易把握。  　　  　　选股思路  　　短线方面，强者恒强仍将持续，新高之后还有新高，这是牛市不变的特点，创出历史新高后的个股短线机会众多，尤其伴随着历史新高，出现较大单日涨幅而且成交量快速放大的个股，短线机会和多多；中长线：虽然部分价值品种有资金吸纳，但不具备太大的成长性，不属于市场热点，如高速、港口、电力等，可以作为防御性的稳健品种。同时，对市场占据权重较大的个股，仍可以继续中长线跟踪关注。  　　  　　中线跟踪  　　工商银行601398，中国银行601988，大秦铁路601006，武钢股份600005，保利地产600048、中信证券600030，鞍钢股份000898，三友化工600409，桂柳工000528，冀东水泥000401，新兴铸管000778，秦川发展000837，祁连山600720，天山股份000877，山东黄金600547，中金黄金600489，合加资源000826，北大荒600598  　　  　　策略回顾  　　首放荐股屡现神奇，28日推荐的深特力A开盘两天涨幅15%，24日推荐的白猫股份两天两个涨停，21日推荐的超跌科技股工大首创三天三个涨停，最大涨幅逼近40%，航天机电连续涨停，投资者即买即赚。昨日中线跟踪推荐的三友化工、冀东水泥、桂柳工、鞍钢等冲击涨停，所有个股都出现了良好的稳健上行趋势。,"大秦铁路, 武钢股份, 特力A, 中信证券, 航天机电, 鞍钢股份, 祁连山, 天山股份, 柳工, 保利地产, 山东黄金, 新兴铸管, 冀东水泥, 三友化工, 中国银行, 工商银行, 中金黄金"
23,　　据新华社电  纽约证券交易所集团公司首席执行官赛恩昨日在北京表示，纽约证券交易所非常欢迎中国创业型企业到美国上市。  　　赛恩在此间的媒体茶话会上说，他也欢迎中国国有企业等公司到纽交所上市。他近日会见了计划到美国上市的部分中国公司代表，包括乳品企业、制药公司和手机生产商。赛恩说，最近有数家中国公司成功地在纽约证券交易所上市，其中包括新东方教育科技集团和迈瑞医疗。截至今年第三季度末，迈瑞医疗的股票价值已增长了３０％，新东方增长了近４０％，已入选今年在美国发行新股公司中表现最好的１０家公司排行榜。  　　赛恩表示，美国的诉讼环境已经成为吸引公司上市的负面因素，不仅不利于中国企业，也不利于美国企业。纽约证券交易所正努力推动修订相关法律，以减少昂贵的诉讼成本，减轻上市公司履行相关义务的成本。  　　据纽交所统计，目前共有２７６２家公司在纽交所上市，总市值高达２３万亿美元，其中４５０家公司来自４７个国家，总市值达９万亿美元。中国联通、中国石化等一批中国公司先后在纽交所上市，数量超过日本和德国。,"迈瑞医疗, 中国联通, 中国石化"
27,　　证券时报记者 张媛媛 胡学文  　　本报讯  继昨日3家公司挂牌中小板后，中小企业板今日又迎来两家公司招股，这样中小板上市家数达到100家。有关人士预计，中小板扩容提速后，深市公司家数有望在2007年底前后超过沪市。  　　数据显示，全流通之前，中小板共挂牌50家上市公司；而自今年5月底新老划断以来，中小板发行上市大提速，其中，全流通上市及已过会企业达50家，平均3天就有1家过会。中小板现有已挂牌企业89家，拟挂牌企业3家，已过会企业8家。另有消息显示，中小企业板发行速度或将由目前的每周3家提高到每周5—6家。鉴于此，有关专家预计，中小企业板扩容提速后，深市公司家数有望在2007年底前后超过沪市。  　　截至11月28日，深交所和上证所分别有563家和831家上市公司。如按中小企业板每周5—6家的发行速度，2007年深市约可接纳240—288家新公司。按沪市当前的发行速度，2007年沪市首发公司在30家以内。因此，深市上市公司众多的特征，将在1年以后初步显现。  　　据本报信息部统计，市值方面，截至昨日，中小板总市值达到1636.56亿元，而在中工国际上市前，中小板市值仅为778.31亿元，增幅高达110%。募资方面，中小板今年IPO募资金额高于前两个年头的募资金额的总和。中小板开板2年多来，IPO募资金额共计247.4亿元，其中，今年募资达127.2亿元，2005年募资29.1亿元，2004年募资91.1亿元。伴随着股市走牛，中小板募集资金金额也在逐步突破。,中工国际
